time,id0,id1,id2,x,y,z,momentBendX,momentBendY,momentBendZ,momentTwistX,momentTwistY,momentTwistZ,normalForceX,normalForceY,normalForceZ,shearForceX,shearForceY,shearForceZ
0.3145380343797819,82,11046,82,3.0102289896990815,1.4831125182953029,0.47157622761749274,0,0,0,0,0,0,64.48634278867382,-100.24748984551891,79.9995307609345,-10.703230821751223,1.141475821359319,9.562021785543513
0.3145380343797819,83,83,84,3.004886478445895,1.5024497855854138,0.4654179498311565,0,0,0,0,0,0,-8.516961849050764,-77.01205207458365,-9.524053495978286,-2.3610471872027268,3.750419639429266,-1.389212722387208
0.3145380343797819,84,84,85,2.9980984528685832,1.519041850056911,0.45877023582885545,0,0,0,0,0,0,-17.33144731181399,-55.17468684532082,-7.876023273545533,-1.944657419180416,2.0767607194518964,-0.13193651085619562
0.3145380343797819,85,85,86,2.9874707159080547,1.5344386794192557,0.4533687185336391,0,0,0,0,0,0,-16.360127812110328,-60.206111296009496,-3.248870905250864,0.4521657479394347,-1.002117489744275,0.549378907577301
0.3145380343797819,86,86,87,2.981373685079812,1.5524919321897501,0.4538583465859329,0,0,0,0,0,0,-11.23354098230672,-53.51723264466618,-7.413922256574574,10.685605035775417,-10.182598388344434,-0.5006249859330753
0.3145380343797819,87,1983,87,2.990031393614584,1.5665922256713107,0.46253637815471293,0,0,0,0,0,0,-3.5873868235039774,-53.77838650199659,-0.7740146955148592,12.488548259098422,-9.82512583933862,-2.661989404751183
0.3145380343797819,88,4128,88,2.988214101305854,1.584762428067172,0.4692486360061147,0,0,0,0,0,0,33.99191731195941,-71.62409812325092,9.814127775004906,3.884420747005047,-2.2567463745546563,-1.6302141646033497
0.3145380343797819,89,4128,89,2.9904555596144515,1.6032201296321933,0.47383086765129523,0,0,0,0,0,0,25.663537462519596,-72.49649413774523,21.428745919833634,4.148923469755968,0.1595913339229042,-4.308455760349513
0.3145380343797819,90,1983,90,2.98944178297957,1.6220188511333482,0.47077095040764005,0,0,0,0,0,0,4.730062363168588,-63.65391199277149,14.997912039531972,1.1505518096177738,2.2957815403250827,-3.4448001930131555
0.3145380343797819,91,91,92,2.991725366519452,1.6397040049432643,0.4669367304816343,0,0,0,0,0,0,-2.9272904478111474,-62.40031174504966,-1.7558623764910952,3.5246073657417245,0.033755478335270483,-3.549315465138754
